start_lat,start_lng,end_lat,end_lng,distance_km,traffic_density,weather_condition,day_of_week,hour_of_day,ETA
17.312362035654207,78.35553987865158,17.27851170512077,78.50181089826266,17.587880470224192,3,rainy,3,17,26.113019690974234
17.485214291922976,78.4625702842135,17.2740936397216,78.53900441915741,24.357537549699604,8,clear,5,14,58.715248155523874
17.41959818254342,78.56188375076292,17.47187637415631,78.37514036963775,23.04466696391461,7,rainy,6,8,59.31640867800631
17.37959754525911,78.51966746592286,17.274863859954852,78.4874622298821,5.463097236119436,3,clear,2,17,35.6302526510794
17.24680559213273,78.54196834435842,17.28158491783859,78.47152379494312,5.328234622502743,6,clear,1,2,56.71348957319385
17.24679835610086,78.49763501001321,17.42781947872539,78.54984911303647,8.777056664602487,4,clear,0,9,36.13653390284273
17.217425083650458,78.50768296935536,17.33492195273516,78.57182611814437,11.471167063890078,5,rainy,3,16,24.579406408057864
17.45985284373248,78.55475869546959,17.433013167086553,78.30364703144322,12.845211860845994,5,rainy,4,6,23.344964404938594
17.380334503522963,78.37490040265776,17.219609847269314,78.50220597571763,20.711219288167012,7,clear,3,14,56.47528526840744
17.412421773338814,78.44682748909294,17.346271358102015,78.31555073973591,2.643732532809227,5,foggy,5,0,18.622319448692956
17.20617534828874,78.36636283254587,17.210084080054983,78.4646575995232,2.005508422555925,3,rainy,2,10,38.981622910090906
17.490972955648598,78.596300402399,17.218795961036605,78.3862898187131,12.365406325373362,10,rainy,3,16,37.77625340313598
17.449732792240127,78.58321780190597,17.47193123600332,78.39203297985664,21.217747072001433,5,clear,4,4,46.98108423264975
17.263701733203483,78.31182804341054,17.24177361133528,78.4058875510357,6.609624945737995,7,foggy,6,6,34.96214537623874
17.25454749016213,78.5116725517547,17.359726204682566,78.48638773471488,19.6036299564313,5,clear,0,18,23.61428303540671
17.255021352956028,78.5775744952247,17.32332868078021,78.40021498970063,8.535016000268683,5,rainy,1,23,18.469824981578927
17.29127267288786,78.3541726035382,17.304202997877653,78.51980971517708,26.696497155591974,9,rainy,2,14,41.040940175294594
17.35742692948967,78.47038356916579,17.46995000370618,78.42135821567216,26.97500838373188,3,clear,4,2,45.949537842661655
