OrderID,CustomerID,EmployeeID,OrderDate
1,197,5,1/30/2022
2,94,6,7/2/2022
3,97,3,11/25/2022
4,128,2,5/4/2022
5,61,8,3/5/2022
6,135,5,8/17/2022
7,166,5,4/22/2022
8,91,8,3/3/2022
9,195,8,10/31/2022
10,115,8,11/30/2022
11,71,5,6/18/2022
12,26,1,8/10/2022
13,1,7,8/2/2022
14,116,4,7/14/2022
15,23,8,7/22/2022
16,110,9,12/20/2022
17,165,8,3/21/2022
18,160,5,1/14/2022
19,57,9,4/23/2022
20,33,2,2/28/2022
21,171,10,5/28/2022
22,113,8,8/27/2022
23,26,1,5/26/2022
24,3,3,1/18/2022
25,68,8,10/23/2022
26,88,10,1/30/2022
27,22,8,12/5/2022
28,8,3,3/13/2022
29,144,8,4/1/2022
30,106,5,8/3/2022
31,61,6,12/13/2022
32,32,4,7/6/2022
33,100,4,5/24/2022
34,13,10,1/16/2022
35,51,4,9/21/2022
36,141,10,6/27/2022
37,147,8,11/6/2022
38,51,10,1/14/2022
39,180,9,3/24/2022
40,181,9,2/12/2022
41,56,6,8/8/2022
42,152,3,5/4/2022
43,165,5,3/24/2022
44,67,9,1/12/2022
45,56,2,11/14/2022
46,114,3,9/10/2022
47,165,6,6/10/2022
48,39,5,3/21/2022
49,110,6,11/25/2022
50,186,8,5/20/2022
51,146,2,5/24/2022
52,7,9,12/21/2022
53,72,1,2/10/2022
54,31,4,4/27/2022
55,181,6,1/28/2022
56,65,8,12/7/2022
57,124,2,11/20/2022
58,145,9,9/28/2022
59,195,9,10/10/2022
60,154,7,7/1/2022
61,138,8,2/9/2022
62,195,1,1/11/2022
63,148,2,12/6/2022
64,14,6,8/6/2022
65,164,2,3/22/2022
66,175,7,7/5/2022
67,67,6,5/10/2022
68,166,9,10/19/2022
69,84,6,3/18/2022
70,28,9,11/11/2022
71,84,7,11/9/2022
72,130,1,7/29/2022
73,116,2,11/8/2022
74,27,8,5/19/2022
75,145,8,2/17/2022
76,124,3,9/25/2022
77,55,2,8/1/2022
78,19,6,9/23/2022
79,21,4,5/29/2022
80,143,10,1/28/2022
81,138,9,1/8/2022
82,27,2,1/15/2022
83,189,9,8/20/2022
84,167,3,1/7/2022
85,61,5,3/25/2022
86,148,2,9/16/2022
87,168,8,10/24/2022
88,46,8,12/22/2022
89,161,4,11/12/2022
90,75,2,2/25/2022
91,92,5,3/30/2022
92,19,2,1/16/2022
93,114,3,2/21/2022
94,177,7,3/19/2022
95,52,10,8/5/2022
96,105,2,4/14/2022
97,61,8,4/18/2022
98,16,7,1/27/2022
99,73,9,12/2/2022
100,86,3,2/22/2022
101,142,5,9/22/2022
102,39,5,12/25/2022
103,94,1,3/3/2022
104,188,2,2/10/2022
105,15,3,3/4/2022
106,4,8,1/14/2022
107,46,10,12/23/2022
108,120,2,12/14/2022
109,158,7,4/28/2022
110,19,7,8/4/2022
111,186,6,3/27/2022
112,200,7,3/30/2022
113,125,4,3/22/2022
114,150,10,1/24/2022
115,187,6,3/23/2022
116,120,10,9/16/2022
117,139,3,1/17/2022
118,133,7,1/30/2022
119,182,1,2/2/2022
120,60,9,5/12/2022
121,135,7,9/10/2022
122,173,10,8/1/2022
