,Name,Location,Single Room,Twin Sharing,Triple Sharing,Four Sharing,Has AC,Nearest Metro,Metro Distance,Type
0,N GRAND MEN'S PG/Paying Guest,Kondapur,22000,12000,10000,Not Available,No,Raidurg Metro Station,3.3,Boys
1,Sugathi Hometel PG/Paying Guest For Women,Nanakaramguda,16000,9000,8500,7000,No,Raidurg Metro Station,4.8,Girls
2,MS Comforts Women's PG/Paying Guest,Gachibowli,18000,10000,9000,8000,No,Raidurg Metro Station,3,Girls
3,SKY LINE CO LIVING PG/Paying Guest,Gachibowli,30000,18000,Not Available,Not Available,Yes,Raidurg Metro Station,4,Coed
4,Manjula Luxury PG/Paying Guest For MEN'S,Gowlidoddy,18000,10000,8000,Not Available,No,Raidurg Metro Station,5.5,Boys
5,SVS Co living Stays PG/Paying Guest,Kondapur,20000,12000,10000,Not Available,Yes,Hitech Metro Station,3.3,Coed
6,TULASI PREMIUM CO LIVING AND GUEST ROOMS PG/Paying Guest,Kondapur,26000,16000,12000,Not Available,Yes,Miyapur Metro Station,2.5,Coed
7,Unique Women's PG/Paying Guest,Gachibowli,24000,14000,10000,9000,No,Raidurg Metro Station,1.6,Girls
8,GOPI MEN'S PG/Paying Guest,Kondapur,20000,10000,8000,7000,No,Miyapur Metro Station,2.1,Boys
9,SRI RAMA CO-LIVING PG/Paying Guest,Kondapur,19000,11000,8000,Not Available,No,Miyapur Metro Station,2.5,Coed
10,ASHOK REDDY PG/Paying Guest FOR MEN,Kondapur,Not Available,9000,7499,6499,No,Miyapur Metro Station,2.7,Boys
11,SV VIHANG CO LIVING PG/Paying Guest,TNGOS Colony,16000,8000,7500,Not Available,No,Raidurg Metro Station,4.4,Coed
12,TECHIES ELITE CO-LIVING PG/Paying Guest,"Hafeezpet, NH 9",26000,15500,12500,9500,Yes,Miyapur Metro Station,2.4,Coed
13,Trinity Co-Living PG/Paying Guest,Madhapur,24000,14000,11000,Not Available,No,Hitech Metro Station,1,Coed
14,Eswar Grand Man's and Women's PG/Paying Guest,Anjaiah Nagar Gachibowli,17000,10000,8000,6500,No,Raidurg Metro Station,1.4,Coed
15,SRIKARA MENS PG/Paying Guest AND HOSTEL,Madhapur,15000,10500,8500,7500,No,Hitech City Metro Station,0.9,Boys
16,COZY EXECUTIVE WOMEN'S PG/Paying Guest,Gachibowli,18000,10000,8500,7500,Yes,Raidurg Metro Station,1.2,Girls
17,TechNest Coliving PG/Paying Guest,Hitech City,20000,14000,10000,Not Available,No,Raidurg Metro Station,0.6,Coed
18,Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive,Gachibowli,19000,10000,8000,7000,No,Raidurg Metro Station,1.6,Coed
19,Le bestow coliving - Bhuvan PG/Paying Guest,Kondapur,20000,15000,12000,Not Available,Yes,Hitech Metro Station,3.3,Coed
20,Orion Co-Living PG/Paying Guest,Madhapur,27000,14000,Not Available,Not Available,Yes,Hitech Metro Station,0.2,Coed
21,RRR COMFORT STAY WOMENS separate building MENS And COLIVE separate building PG/Paying Guest,Gachibowli,20000,12500,8500,8000,Yes,Raidurg Metro Station,4,Coed
22,Sri kanaka Durga men's PG/Paying Guest,Madhapur,17000,11000,9000,7000,No,Madhapur Metro Station,0,Boys
23,My Spaces Luxury Men's PG/Paying Guest,Kondapur,22000,12000,9500,Not Available,No,Miyapur Metro Station,2.6,Boys
24,Estay Executive Men's PG/Paying Guest,Hitech City,22000,11500,8500,7500,Yes,Hitech City Metro Station,0.4,Boys
25,R3 ATMOS LIVE THE SWAG PG/Paying Guest,Hitex Road,28000,15000,11000,Not Available,Yes,Hitech Metro Station,1.7,Coed
